Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
ALK	CD246	ENSG00000171094	"ALK receptor tyrosine kinase"	Q9UM73	2	29192774-29921586	"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Cancer-related genes, Disease variant, FDA approved drug targets, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"brain: 10.9"	"Group enriched"	"Detected in some"	5	"Inhibitory neurons: 267.4;Oligodendrocyte precursor cells: 415.4"	"Group enriched"	"Detected in some"	5	"glioma: 1.0;melanoma: 1.5;ovarian cancer: 0.7;thyroid cancer: 1.3"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	8	"Neuroblastoma: 81.3"	"Colon - Enteric glia cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA010694	Approved		Supported	"Plasma membrane"		NA	NA				"Cluster 73: Brain - Neuropeptide signaling"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 32: Neurons - Synaptic function"	"Plasma membrane"		"HPA010694: AB_1078133"	"unprognostic (4.96e-2)"	"unprognostic (1.11e-2)"	"unprognostic (1.45e-1)"	"unprognostic (4.56e-7)"	"unprognostic (7.17e-2)"	"unprognostic (1.71e-1)"	"unprognostic (9.07e-3)"	"unprognostic (6.29e-3)"	"unprognostic (1.18e-1)"	"unprognostic (1.01e-1)"	"unprognostic (2.67e-4)"	"unprognostic (3.70e-2)"	"unprognostic (2.06e-2)"	"unprognostic (7.15e-2)"	"unprognostic (1.98e-1)"	"unprognostic (1.38e-1)"	"unprognostic (3.61e-2)"
ALOXE3	"E-LOX, eLOX3"	ENSG00000179148	"Arachidonate lipoxygenase 3"	Q9BYJ1	17	8095900-8119047	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Dioxygenase, Isomerase, Lyase, Oxidoreductase"	"Disease variant, Ichthyosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	27	"skin 1: 56.2"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 1.4;Extravillous trophoblasts: 1.5;Spermatocytes: 2.6;Spermatogonia: 1.4;Suprabasal keratinocytes: 5.5"	"Group enriched"	"Detected in some"	4	"cervical cancer: 1.1;head and neck cancer: 3.9;melanoma: 1.5"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Skin - Keratinocyte (granular)"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"HPA023120, HPA078597"	Enhanced		Approved	"Plasma membrane,Cytosol"		NA	NA			"Cluster 32: T-cells - Unknown function"	"Cluster 61: Skin - Cornification"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 74: Pancreatic cells - Mixed function"	"Plasma membrane, Cytosol"		"HPA023120: AB_10959300, HPA078597: AB_2732385"	"unprognostic (2.40e-1)"	"unprognostic (3.01e-2)"	"unprognostic (1.87e-3)"	"unprognostic (2.09e-4)"	"unprognostic (1.07e-2)"	"unprognostic (4.06e-2)"		"unprognostic (3.56e-4)"	"unprognostic (3.60e-1)"	"unprognostic (4.65e-2)"	"unprognostic (3.82e-2)"	"unprognostic (3.72e-1)"	"unprognostic (3.66e-5)"	"unprognostic (9.81e-2)"	"unprognostic (2.55e-1)"	"unprognostic (1.08e-2)"	"unprognostic (2.88e-2)"
ALPI	IAP	ENSG00000163295	"Alkaline phosphatase, intestinal"	P09923	2	232456125-232460753	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	138	"intestine: 141.2"	"Cell type enriched"	"Detected in some"	11	"Proximal enterocytes: 296.0"	"Cancer enhanced"	"Detected in many"		"liver cancer: 4.7;renal cancer: 3.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enterocytes"									"HPA038764, HPA038765, HPA051699"	Supported		Approved	"Plasma membrane"	"Intracellular and membrane"	NA	NA		130000		"Cluster 56: Intestine - Transmembrane transport"	"Cluster 6: BEWO - Unknown function"	"Cluster 59: Proximal enterocytes - Transmembrane transport"	"Plasma membrane"		"HPA038764: AB_2676194, HPA038765: AB_2676195, HPA051699: AB_2681577"			"unprognostic (1.01e-1)"	"unprognostic (7.71e-2)"			"unprognostic (4.14e-2)"			"unprognostic (1.47e-1)"	"unprognostic (9.57e-4)"		"unprognostic (8.07e-2)"	"unprognostic (1.71e-1)"	"unprognostic (9.99e-2)"		
ALPP	"PALP, PLAP"	ENSG00000163283	"Alkaline phosphatase, placental"	P05187	2	232378724-232382889	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		Hydrolase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"cervix: 17.8;placenta: 34.6"	"Cell type enriched"	"Detected in some"	9	"Alveolar cells type 1: 58.2"	"Cancer enhanced"	"Detected in many"		"endometrial cancer: 15.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"cervical cancer: 75.3;Gastric cancer: 67.4"										"CAB026327, HPA038764, HPA038765, HPA051699"	Enhanced		Approved	"Plasma membrane"	"Intracellular and membrane"	NA	NA				"Cluster 28: Placenta - Pregnancy"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 41: Alveolar cells - Lung function"	"Plasma membrane"		"CAB026327: , HPA038764: AB_2676194, HPA038765: AB_2676195, HPA051699: AB_2681577"		"unprognostic (4.86e-2)"	"unprognostic (5.19e-3)"	"unprognostic (6.67e-3)"		"unprognostic (2.60e-1)"		"unprognostic (2.44e-3)"		"unprognostic (1.26e-2)"	"prognostic unfavorable (4.33e-4)"	"unprognostic (1.44e-1)"		"unprognostic (4.09e-1)"	"unprognostic (2.12e-1)"		"unprognostic (1.27e-2)"
AMER2	"FAM123A, FLJ25477"	ENSG00000165566	"APC membrane recruitment protein 2"	Q8N7J2	13	25161679-25172288	"Predicted intracellular proteins"	"Wnt signaling pathway"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"brain: 114.8"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 96.2;Bipolar cells: 105.3;Cone photoreceptor cells: 70.7;Horizontal cells: 100.6;Muller glia cells: 265.9;Oligodendrocytes: 318.2;Rod photoreceptor cells: 112.1"	"Cancer enriched"	"Detected in single"	24	"glioma: 4.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	8	"Bone cancer: 23.4"	"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA039458	Enhanced		Supported	"Plasma membrane"		NA	NA				"Cluster 70: Brain - Nervous system development"	"Cluster 47: Retina - Visual perception"	"Cluster 68: Muller glia cells - Visual perception"	"Plasma membrane"		"HPA039458: AB_10795677"	"unprognostic (1.69e-2)"	"unprognostic (4.13e-2)"		"unprognostic (7.43e-3)"	"unprognostic (2.32e-1)"	"unprognostic (3.00e-3)"		"unprognostic (5.00e-3)"	"unprognostic (7.28e-2)"	"unprognostic (2.34e-2)"	"unprognostic (5.90e-4)"	"unprognostic (1.60e-2)"	"unprognostic (1.20e-2)"	"unprognostic (1.52e-1)"	"unprognostic (1.13e-1)"	"unprognostic (1.34e-1)"	
ANKFN1	FLJ38335	ENSG00000153930	"Ankyrin repeat and fibronectin type III domain containing 1"	Q8N957	17	55882301-56511659	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 11.3;cervix: 9.2;fallopian tube: 5.3"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 134.1;Early spermatids: 21.9;Excitatory neurons: 26.7;Inhibitory neurons: 84.4;Oligodendrocyte precursor cells: 67.9"	"Cancer enhanced"	"Detected in some"		"glioma: 0.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"cervical cancer: 3.2;Rhabdoid: 2.4"	"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA021566, HPA022538, HPA048953"	Uncertain		Approved	"Nucleoplasm,Plasma membrane"		NA	NA				"Cluster 73: Brain - Neuropeptide signaling"	"Cluster 7: Neuronal cell lines - Stereocilium"	"Cluster 37: Neurons - Neuronal signaling"	Nucleoplasm	"Plasma membrane"	"HPA021566: AB_1844828, HPA022538: AB_1844829, HPA048953: "	"unprognostic (6.64e-2)"	"unprognostic (1.29e-1)"	"unprognostic (3.52e-2)"	"unprognostic (9.38e-5)"	"unprognostic (2.39e-1)"	"unprognostic (2.31e-3)"	"unprognostic (3.84e-2)"	"unprognostic (1.68e-1)"	"unprognostic (3.31e-1)"	"unprognostic (1.21e-1)"	"unprognostic (1.24e-2)"	"unprognostic (6.81e-3)"	"unprognostic (3.44e-8)"	"unprognostic (1.24e-1)"	"unprognostic (1.69e-1)"	"unprognostic (4.93e-2)"	"unprognostic (9.51e-2)"
AQP10		ENSG00000143595	"Aquaporin 10"	Q96PS8	1	154321090-154325325	"Metabolic proteins, Predicted membrane proteins, Transporters"	Transport			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	15	"intestine: 68.5"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 1.9;Erythroid cells: 1.1;granulocytes: 8.2;Sertoli cells: 2.8"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Leukemia: 1.6;Neuroblastoma: 1.2"	"Testis - Sertoli cells"					"Not detected"	"Not detected"			"HPA062621, HPA065947"	Enhanced		Supported	"Vesicles,Plasma membrane"		NA	NA			"Cluster 34: Basophils - Unknown function"	"Cluster 56: Intestine - Transmembrane transport"	"Cluster 32: Myeloid leukemia - Oxygen transport"	"Cluster 4: Platelets - Platelet activation"	"Plasma membrane"	Vesicles	"HPA062621: , HPA065947: AB_2685584"	"unprognostic (6.84e-2)"	"unprognostic (4.97e-2)"		"unprognostic (4.19e-2)"	"unprognostic (1.87e-1)"	"unprognostic (1.09e-1)"	"unprognostic (8.45e-4)"	"unprognostic (1.63e-1)"	"unprognostic (3.07e-1)"	"unprognostic (4.08e-2)"	"unprognostic (3.99e-1)"	"unprognostic (1.22e-1)"	"unprognostic (1.43e-1)"	"unprognostic (1.49e-1)"	"unprognostic (1.68e-1)"		"unprognostic (7.64e-3)"
ARHGAP36	FLJ30058	ENSG00000147256	"Rho GTPase activating protein 36"	Q6ZRI8	X	131058346-131089885	"Predicted intracellular proteins"		"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	22	"adrenal gland: 105.4;brain: 144.3;pituitary gland: 176.9"	"Cell type enriched"	"Detected in some"	21	"Skeletal myocytes: 31.7"	"Cancer enriched"	"Detected in some"	21	"thyroid cancer: 62.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	8	"Neuroblastoma: 34.8"	"Testis - Spermatogonia"	"Region enhanced"	"Detected in many"		"hypothalamus: 89.4"	"Low region specificity"	"Detected in many"			"HPA002064, HPA076209"	Enhanced		Approved	"Nucleoplasm,Vesicles,Plasma membrane"		Yes	NA				"Cluster 26: Pituitary gland - Hormone signaling"	"Cluster 21: Neuroblastoma - Neuronal signaling"	"Cluster 27: Skeletal myocytes - Muscle contraction"	Nucleoplasm	"Vesicles, Plasma membrane"	"HPA002064: AB_1078891, HPA076209: "	"unprognostic (2.92e-2)"			"unprognostic (7.71e-9)"	"unprognostic (2.19e-1)"	"unprognostic (8.15e-2)"				"unprognostic (1.67e-1)"	"unprognostic (1.78e-1)"	"unprognostic (2.73e-1)"		"unprognostic (1.40e-2)"	"unprognostic (1.34e-2)"	"unprognostic (2.31e-1)"	
ASPM	"ASP, Calmbp1, FLJ10517, FLJ10549, MCPH5"	ENSG00000066279	"Assembly factor for spindle microtubules"	Q8IZT6	1	197084121-197146694	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Mitosis"	Calmodulin-binding	"Cancer-related genes, Disease variant, Intellectual disability, Primary microcephaly"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"bone marrow: 10.1;lymphoid tissue: 17.0"	"Cell type enhanced"	"Detected in many"		"Erythroid cells: 82.6;Granulosa cells: 119.8;Plasma cells: 55.4;Spermatocytes: 47.8;Spermatogonia: 47.5"	"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Colon - Mitotic cells (Colon), Heart muscle - Mitotic cells (Heart), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Spermatocytes, Thyroid - Mitotic cells (Thyroid)"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			CAB017816			Approved	"Plasma membrane,Cytosol"		NA	Yes				"Cluster 53: Non-specific - Cell cycle regulation"	"Cluster 45: Non-specific - Cell proliferation"	"Cluster 43: Non-specific - Cell proliferation"	"Plasma membrane, Cytosol"		"CAB017816: "	"unprognostic (3.24e-1)"	"unprognostic (1.56e-1)"	"unprognostic (2.81e-2)"	"prognostic unfavorable (1.97e-4)"	"unprognostic (3.67e-1)"	"unprognostic (3.47e-2)"	"prognostic unfavorable (1.25e-4)"	"prognostic unfavorable (2.41e-4)"	"unprognostic (4.67e-3)"	"unprognostic (9.29e-2)"	"prognostic unfavorable (2.40e-4)"	"unprognostic (1.03e-1)"	"unprognostic (0.00e+0)"	"unprognostic (7.31e-3)"	"unprognostic (1.23e-1)"	"unprognostic (4.94e-2)"	"unprognostic (3.66e-2)"
ATP12A	"ATP1AL1, H-K-ATPase, HK"	ENSG00000075673	"ATPase H+/K+ transporting non-gastric alpha2 subunit"	P54707	13	24680408-24712472	"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Hydrogen ion transport, Ion transport, Potassium transport, Sodium transport, Transport"	Translocase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"esophagus: 11.2;kidney: 5.4;lymphoid tissue: 14.8;placenta: 5.6;skin 1: 6.2"	"Group enriched"	"Detected in some"	5	"Basal respiratory cells: 172.6;Club cells: 59.4;Ionocytes: 216.1"	"Cancer enhanced"	"Detected in many"		"testis cancer: 12.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	6	"testis cancer: 4.8"	"Lung - Respiratory ciliated cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA039526	Approved		Approved	"Plasma membrane,Actin filaments,Cytosol"		NA	NA			"Cluster 4: T-regs - Cell cycle regulation"	"Cluster 84: Esophagus - Epithelial cell function"	"Cluster 12: Lymphoid cancers - Adaptive immune response"	"Cluster 5: Bronchus - Unknown function"	"Plasma membrane, Actin filaments"	Cytosol	"HPA039526: AB_10673534"	"unprognostic (8.33e-3)"	"unprognostic (3.58e-2)"	"unprognostic (2.93e-1)"	"unprognostic (5.21e-3)"	"unprognostic (2.58e-1)"	"unprognostic (1.21e-2)"		"unprognostic (8.03e-3)"	"unprognostic (2.64e-1)"	"unprognostic (1.50e-1)"	"unprognostic (1.18e-1)"	"unprognostic (3.39e-1)"	"unprognostic (2.24e-1)"	"unprognostic (1.78e-1)"	"unprognostic (1.67e-1)"	"unprognostic (6.80e-2)"	"unprognostic (8.22e-3)"
ATP13A5	FLJ16025	ENSG00000187527	"ATPase 13A5"	Q4VNC0	3	193274789-193378820	"Predicted membrane proteins"		Translocase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"breast: 17.3;choroid plexus: 38.5;salivary gland: 11.7"	"Group enriched"	"Detected in some"	4	"Astrocytes: 36.7;Oligodendrocyte precursor cells: 25.0"	"Cancer enhanced"	"Detected in some"		"head and neck cancer: 1.3"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	6	"neutrophil: 1.0"	"Lineage enriched"	"Detected in single"	9	"granulocytes: 1.0"	"Group enriched"	"Detected in some"	5	"Brain cancer: 1.9;breast cancer: 3.4;Esophageal cancer: 1.0"	"Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			"HPA031771, HPA031772, HPA031774"	Uncertain		Approved	"Nucleoplasm,Plasma membrane"		NA	NA			"Cluster 1: Neutrophils - Mixed function"	"Cluster 88: Choroid plexus - Transmembrane transport"	"Cluster 42: Sarcoma - Muscle contraction"	"Cluster 63: Astrocytes - Nervous system maintenance"	"Plasma membrane"	Nucleoplasm	"HPA031771: AB_2674038, HPA031772: , HPA031774: AB_2674039"	"unprognostic (7.98e-2)"	"unprognostic (3.01e-4)"		"unprognostic (2.06e-3)"	"unprognostic (2.72e-3)"	"unprognostic (3.93e-1)"		"unprognostic (1.67e-4)"	"unprognostic (3.03e-1)"	"unprognostic (2.31e-1)"	"unprognostic (2.14e-2)"		"unprognostic (1.73e-1)"	"unprognostic (7.15e-2)"	"unprognostic (1.10e-1)"	"unprognostic (8.10e-2)"	
ATP4B	ATP6B	ENSG00000186009	"ATPase H+/K+ transporting subunit beta"	P51164	13	113648804-113658198	"FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"	"Cell adhesion, Hydrogen ion transport, Ion transport, Potassium transport, Transport"		"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	305	"stomach 1: 1096.8"	"Cell type enriched"	"Detected in some"	167	"Gastric mucus-secreting cells: 168.7"	"Cancer enriched"	"Detected in some"	12	"stomach cancer: 8.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Stomach - Parietal cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA045400, HPA052649"	Enhanced		Uncertain	"Plasma membrane"		NA	NA				"Cluster 4: Stomach - Digestion"	"Cluster 41: Non-specific - Cilium assembly"	"Cluster 58: Gastric mucus-secreting cells - Digestion"	"Plasma membrane"		"HPA045400: AB_2679314, HPA052649: AB_2681900"	"unprognostic (9.92e-2)"	"unprognostic (2.19e-1)"		"unprognostic (2.66e-1)"	"unprognostic (4.86e-1)"			"unprognostic (6.43e-3)"	"unprognostic (7.81e-3)"	"unprognostic (1.95e-1)"	"unprognostic (3.22e-1)"	"unprognostic (6.50e-2)"	"unprognostic (6.65e-4)"	"unprognostic (2.25e-1)"	"unprognostic (2.78e-1)"	"unprognostic (3.78e-2)"	
ATP8A2	"ATPIB, ML-1"	ENSG00000132932	"ATPase phospholipid transporting 8A2"	Q9NTI2	13	25371974-26025851	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins"	"Lipid transport, Transport"	Translocase	"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"brain: 21.6;pituitary gland: 15.2;retina: 17.2"	"Group enriched"	"Detected in many"	6	"Excitatory neurons: 511.3;Inhibitory neurons: 711.1"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"prostate cancer: 6.1"	"Colon - Colon enteroendocrine cells, Skin - Outer root sheath cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039926, HPA040033"	Enhanced		Supported	"Nucleoplasm,Plasma membrane"		NA	NA			"Cluster 32: T-cells - Unknown function"	"Cluster 58: Brain - Synaptic function"	"Cluster 56: Neurons - Neuronal signaling"	"Cluster 32: Neurons - Synaptic function"	"Plasma membrane"	Nucleoplasm	"HPA039926: AB_10794205, HPA040033: AB_2676809"	"unprognostic (3.79e-2)"	"unprognostic (4.28e-2)"	"unprognostic (3.32e-2)"	"unprognostic (1.95e-4)"	"unprognostic (3.57e-2)"	"unprognostic (1.89e-1)"	"unprognostic (1.31e-2)"	"unprognostic (2.97e-3)"	"unprognostic (2.77e-1)"	"unprognostic (3.66e-1)"	"unprognostic (4.96e-4)"	"unprognostic (1.24e-1)"	"unprognostic (1.18e-2)"	"unprognostic (4.20e-5)"	"unprognostic (9.10e-2)"	"unprognostic (2.95e-1)"	"unprognostic (7.22e-2)"
BTBD18		ENSG00000233436	"BTB domain containing 18"	B2RXH4	11	57743514-57751781	"Predicted intracellular proteins"	"Differentiation, Spermatogenesis, Transcription, Transcription regulation"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"brain: 3.1;testis: 2.1"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 1.7;Excitatory neurons: 1.3;Horizontal cells: 1.9;Rod photoreceptor cells: 3.2;Spermatocytes: 4.9;Spermatogonia: 3.6"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in single"		"cerebellum: 3.1"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Spermatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			HPA049325	Uncertain		Approved	"Nucleoplasm,Vesicles,Plasma membrane"		NA	NA			"Cluster 21: B-cells - Adaptive immune response"	"Cluster 21: Non-specific - Transcription"	"Cluster 64: Lymphoma - Humoral immune response"	"Cluster 76: Spermatocytes & Spermatogonia - Spermatogenesis"	"Nucleoplasm, Plasma membrane"	Vesicles	"HPA049325: AB_2680713"	"unprognostic (6.68e-2)"	"unprognostic (3.13e-2)"	"unprognostic (3.43e-1)"	"unprognostic (4.81e-2)"	"unprognostic (1.75e-1)"	"unprognostic (2.47e-2)"	"unprognostic (8.69e-3)"	"unprognostic (4.84e-3)"	"unprognostic (1.77e-1)"	"unprognostic (2.96e-1)"	"unprognostic (7.17e-3)"	"unprognostic (5.95e-3)"	"unprognostic (1.42e-2)"	"unprognostic (2.34e-2)"	"unprognostic (3.15e-1)"	"unprognostic (3.34e-1)"	"unprognostic (2.88e-1)"
C10orf90	"bA422P15.2, FATS, FLJ32938"	ENSG00000154493	"Chromosome 10 open reading frame 90"	Q96M02	10	126424997-126798708	"Predicted intracellular proteins"	"Ubl conjugation pathway"	Transferase	"Tumor suppressor"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	10	"brain: 112.1"	"Cell type enriched"	"Detected in some"	4	"Oligodendrocytes: 773.5"	"Cancer enriched"	"Detected in some"	5	"melanoma: 4.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	12	"skin cancer: 45.2"	"Adipose visceral - Adipocytes (Visceral), Skin - Eccrine sweat gland cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA038648, HPA075229"	Approved		Approved	"Nucleoplasm,Plasma membrane,Cytosol"		NA	NA			"Cluster 16: MAIT-cells - Unknown function"	"Cluster 70: Brain - Nervous system development"	"Cluster 16: Skin cancer - Melanocyte processes"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"	"Plasma membrane, Cytosol"	Nucleoplasm	"HPA038648: AB_10672721, HPA075229: "	"unprognostic (1.21e-2)"	"unprognostic (3.34e-1)"	"unprognostic (7.50e-2)"	"unprognostic (2.05e-2)"	"unprognostic (1.66e-1)"	"unprognostic (9.30e-2)"	"unprognostic (1.98e-3)"	"unprognostic (5.06e-2)"	"unprognostic (9.34e-3)"	"unprognostic (3.73e-2)"	"unprognostic (9.52e-2)"	"unprognostic (1.22e-1)"	"unprognostic (5.06e-11)"	"unprognostic (2.69e-3)"	"unprognostic (9.91e-3)"	"unprognostic (1.26e-1)"	"unprognostic (2.88e-1)"
